# rho_tor		mean_te	std_te
0.000000000000000000e+00	2.676856145097490753e+03	3.471070282593418597e+02
5.102040816326530205e-03	2.676783532517893946e+03	3.470976126107777873e+02
1.530612244897958975e-02	2.671769599250114425e+03	3.448782921647842841e+02
2.551020408163265016e-02	2.661776292223702058e+03	3.405192626605168584e+02
3.571428571428571230e-02	2.646959223404926888e+03	3.341745225111785089e+02
4.591836734693877098e-02	2.627527747788916258e+03	3.260565144844186989e+02
5.612244897959182965e-02	2.603749853892902138e+03	3.164275874584190547e+02
6.632653061224490221e-02	2.575948406924531355e+03	3.055866905204829891e+02
7.653061224489796088e-02	2.544481578017532229e+03	2.938441164817261324e+02
8.673469387755101956e-02	2.509723473893611299e+03	2.814989099761166358e+02
9.693877551020407823e-02	2.472065626171267922e+03	2.688346246856980315e+02
1.071428571428569981e-01	2.431914924309107391e+03	2.561126967369505110e+02
1.173469387755100013e-01	2.389671741623361868e+03	2.435549620778585336e+02
1.275510204081629906e-01	2.345717012624678773e+03	2.313368315111631830e+02
1.377551020408160076e-01	2.300414609639729406e+03	2.195911361041016789e+02
1.479591836734689969e-01	2.254108567866562680e+03	2.084107741658421560e+02
1.581632653061219862e-01	2.207111085284007913e+03	1.978498369303905520e+02
1.683673469387760024e-01	2.159700647031022072e+03	1.879297808131979934e+02
1.785714285714289917e-01	2.112127318266204384e+03	1.786476835058762447e+02
1.887755102040820088e-01	2.064612140643909242e+03	1.699825983689551094e+02
1.989795918367349981e-01	2.017344069605755067e+03	1.619005784943977062e+02
2.091836734693879873e-01	1.970482797243735376e+03	1.543598528363938271e+02
2.193877551020410044e-01	1.924163130331626007e+03	1.473152519519197483e+02
2.295918367346939937e-01	1.878496173657284089e+03	1.407212068775770888e+02
2.397959183673470107e-01	1.833570754821157607e+03	1.345337681248235810e+02
2.500000000000000000e-01	1.789456316593411884e+03	1.287118790301883564e+02
2.602040816326530170e-01	1.746205652257497832e+03	1.232182164892383582e+02
2.704081632653059786e-01	1.703856852454086493e+03	1.180196184997165147e+02
2.806122448979589956e-01	1.662435479917046678e+03	1.130870387471646694e+02
2.908163265306120127e-01	1.621956518503693815e+03	1.083952488266409375e+02
3.010204081632649742e-01	1.582425641458102746e+03	1.039225095089296502e+02
3.112244897959179912e-01	1.543840849293422707e+03	9.965023683816190214e+01
3.214285714285710083e-01	1.506194201348608885e+03	9.556259245192291019e+01
3.316326530612240253e-01	1.469472756845328377e+03	9.164602714066586486e+01
3.418367346938779860e-01	1.433659388084934562e+03	8.788890599584605923e+01
3.520408163265310031e-01	1.398733858485399423e+03	8.428120600540324858e+01
3.622448979591840201e-01	1.364673453601854362e+03	8.081421081182541855e+01
3.724489795918369817e-01	1.331453424676721397e+03	7.748025000805539264e+01
3.826530612244899987e-01	1.299047873057860215e+03	7.427253246795552855e+01
3.928571428571430157e-01	1.267430365145503629e+03	7.118499090215443914e+01
4.030612244897959773e-01	1.236573780148727792e+03	6.821210453356297876e+01
4.132653061224489943e-01	1.206450468440396889e+03	6.534879259953318353e+01
4.234693877551020114e-01	1.177033008051716934e+03	6.259037546179896339e+01
4.336734693877549729e-01	1.148294660659754754e+03	5.993252436047512788e+01
4.438775510204079899e-01	1.120209020563122294e+03	5.737117204250493785e+01
4.540816326530610070e-01	1.092749989686248455e+03	5.490247022967157875e+01
4.642857142857140240e-01	1.065892251696903031e+03	5.252278865350490378e+01
4.744897959183669855e-01	1.039611466653839216e+03	5.022869889596116622e+01
4.846938775510200026e-01	1.013884152941163165e+03	4.801694513395089103e+01
4.948979591836730196e-01	9.886876082847863927e+02	4.588442379056029097e+01
5.051020408163260367e-01	9.640000534738048827e+02	4.382818063078457982e+01
5.153061224489799974e-01	9.398006953543193731e+02	4.184540508630681899e+01
5.255102040816329589e-01	9.160696851676799497e+02	3.993341883866342101e+01
5.357142857142860315e-01	8.927880640184542926e+02	3.808966625364025305e+01
5.459183673469389930e-01	8.699377648977782655e+02	3.631170943110065252e+01
5.561224489795919546e-01	8.475016060253351498e+02	3.459722301497949815e+01
5.663265306122450271e-01	8.254632421020836546e+02	3.294398588725039190e+01
5.765306122448979886e-01	8.038071106355554321e+02	3.134987470112202601e+01
5.867346938775509502e-01	7.825184119380751326e+02	2.981286041473132187e+01
5.969387755102040227e-01	7.615830849917382466e+02	2.833100360955697283e+01
6.071428571428569843e-01	7.409877489727267630e+02	2.690244721975645348e+01
6.173469387755099458e-01	7.207196488267110226e+02	2.552541114630195551e+01
6.275510204081630183e-01	7.007666373253339316e+02	2.419819012100430555e+01
6.377551020408159799e-01	6.811171551579403740e+02	2.291915043801892082e+01
6.479591836734690524e-01	6.617601791187329354e+02	2.168672420702339565e+01
6.581632653061220140e-01	6.426851738983903033e+02	2.049940516128051726e+01
6.683673469387749755e-01	6.238820784431336506e+02	1.935574765315163148e+01
6.785714285714280480e-01	6.053412916569632216e+02	1.825436461795532139e+01
6.887755102040820088e-01	5.870536270583901342e+02	1.719392281414318546e+01
6.989795918367349703e-01	5.690102711662268575e+02	1.617313988053385998e+01
7.091836734693880429e-01	5.512027883531893622e+02	1.519078571749486883e+01
7.193877551020410044e-01	5.336231152632225303e+02	1.424568166843417849e+01
7.295918367346939659e-01	5.162634911995436369e+02	1.333669466564273343e+01
7.397959183673470385e-01	4.991164137210277545e+02	1.246273517353992411e+01
7.500000000000000000e-01	4.821746993584155234e+02	1.162276337298262874e+01
7.602040816326529615e-01	4.654315260063708024e+02	1.081579190553432390e+01
7.704081632653060341e-01	4.488802594370515635e+02	1.004087492843540197e+01
7.806122448979589956e-01	4.325143437282418972e+02	9.297105185418406137e+00
7.908163265306119571e-01	4.163275099686401290e+02	8.583627678917419956e+00
8.010204081632650297e-01	4.003138915379752234e+02	7.899649907670820426e+00
8.112244897959179912e-01	3.844677291307302198e+02	7.244426853454152493e+00
8.214285714285709528e-01	3.687831441593791055e+02	6.617253908445664301e+00
8.316326530612240253e-01	3.532543533563086271e+02	6.017487168348625737e+00
8.418367346938769868e-01	3.378759023786142848e+02	5.444558473886228711e+00
8.520408163265309476e-01	3.226424537879865397e+02	4.897972584073600366e+00
8.622448979591840201e-01	3.075483445547378665e+02	4.377300665644139777e+00
8.724489795918369817e-01	2.925875418978494622e+02	3.882195533565307333e+00
8.826530612244900542e-01	2.777538773708531608e+02	3.412415211767808376e+00
8.928571428571430157e-01	2.630409222240515419e+02	2.967839952458017461e+00
9.030612244897959773e-01	2.484415449419245476e+02	2.548488673924637737e+00
9.132653061224490498e-01	2.339477698535919785e+02	2.154549675826175292e+00
9.234693877551020114e-01	2.195504349718490005e+02	1.786415447010823332e+00
9.336734693877549729e-01	2.052386105919431429e+02	1.444738595379546187e+00
9.438775510204080454e-01	1.909997185817782110e+02	1.130526583947916164e+00
9.540816326530610070e-01	1.768229642297649775e+02	8.453152595938924208e-01
9.642857142857139685e-01	1.626984412236055277e+02	5.912824879012911206e-01
9.744897959183670411e-01	1.485999934080223568e+02	3.711133791946373273e-01
9.846938775510200026e-01	1.344735003189728957e+02	1.881454748723698223e-01
9.948979591836729641e-01	1.202350676065323114e+02	4.693997616148070512e-02
1.000000000000000000e+00	1.129999999968287767e+02	2.614359263824220652e-09
